filename,series,width,height,position_index,ref,metric,ts,center,rotation,scale,center.c,center.r,tr16,xfmsequence
B_141_FB40-SL_81-ST_HEOS-SE_242_compressed.jp2,HEOS,40904.0,51703.0,242,245.0,1.0296940583927976,07-02-24(14:48),[-42880. -54464.],-2.0749731415431243,1.0,-42880.0,54464.0,[3174.65464566 1510.27307782],rot180->rot90->pad->cog->int
B_141_FB40-SL_82-ST_HEOS-SE_245_compressed.jp2,HEOS,41852.0,55668.0,245,247.0,1.1283118872933098,07-02-24(14:48),[-42784. -54976.],-2.124038172635673,1.0,-42784.0,54976.0,[3190.40572433 1549.59981212],rot180->rot90->pad->cog->int
B_141_FB40-SL_83-ST_NISL-SE_247_compressed.jp2,NISL,42440.0,56048.0,247,248.0,0.7522170558535622,07-02-24(14:48),[-42688. -55008.],-2.0568168620760168,1.0,-42688.0,55008.0,[3161.30217935 1483.89246533],rot180->rot90->pad->int
B_141_FB40-SL_83-ST_HEOS-SE_248_compressed.jp2,HEOS,42356.0,55396.0,248,250.0,0.7912185971324989,07-02-24(14:48),[-42720. -54944.],-2.019501458872793,1.0,-42720.0,54944.0,[3140.01217752 1437.11725236],rot180->rot90->pad->int
B_141_FB40-SL_84-ST_NISL-SE_250_compressed.jp2,NISL,43923.0,55640.0,250,253.0,0.9222950413164284,07-02-24(14:48),[-42496. -54976.],-2.121492682985821,1.0,-42496.0,54976.0,[3205.75799391 1542.01633907],rot180->rot90->pad->int
B_141_FB40-SL_85-ST_NISL-SE_253_compressed.jp2,NISL,40604.0,54789.0,253,254.0,0.6703789781976903,07-02-24(14:48),[-42912. -54880.],-2.097734892552628,1.0,-42912.0,54880.0,[3137.41774164 1514.95830739],rot180->rot90->pad->int
B_141_FB40-SL_85-ST_HEOS-SE_254_compressed.jp2,HEOS,41376.0,56345.0,254,256.0,0.6291997223740291,07-02-24(14:48),[-42816. -55072.],-2.053440750949345,1.0,-42816.0,55072.0,[3169.16275148 1467.60267478],rot180->rot90->pad->int
B_141_FB40-SL_86-ST_NISL-SE_256_compressed.jp2,NISL,42664.0,55300.0,256,257.0,0.9045532038274952,07-02-24(14:48),[-42656. -54944.],-2.0792882531251693,1.0,-42656.0,54944.0,[3163.54423392 1514.3446213 ],rot180->rot90->pad->int
B_141_FB40-SL_86-ST_HEOS-SE_257_compressed.jp2,HEOS,42748.0,58034.0,257,259.0,0.942255419610493,07-02-24(14:48),[-42656. -55264.],-2.095242276369563,1.0,-42656.0,55264.0,[3187.11207114 1509.245148  ],rot180->rot90->pad->int
B_141_FB40-SL_87-ST_NISL-SE_259_compressed.jp2,NISL,43488.0,55715.0,259,260.0,1.039114613007169,07-02-24(14:48),[-42560. -54976.],-2.1259561676839747,1.0,-42560.0,54976.0,[3175.43550706 1561.07860753],rot180->rot90->pad->cog->int
B_141_FB40-SL_87-ST_HEOS-SE_260_compressed.jp2,HEOS,42160.0,57741.0,260,262.0,1.1129985296154694,07-02-24(14:48),[-42720. -55232.],-2.125405646386109,1.0,-42720.0,55232.0,[3192.76780167 1534.47568644],rot180->rot90->pad->cog->sift
B_141_FB40-SL_88-ST_NISL-SE_262_compressed.jp2,NISL,41740.0,58176.0,262,263.0,1.0131931582452829,07-02-24(14:48),[-42784. -55296.],-2.1359299681163004,1.0,-42784.0,55296.0,[3168.96757018 1585.54891298],rot180->rot90->pad->cog->int
B_141_FB40-SL_88-ST_HEOS-SE_263_compressed.jp2,HEOS,41992.0,58748.0,263,265.0,0.9043914944251398,07-02-24(14:48),[-42752. -55360.],-2.0448219558423086,1.0,-42752.0,55360.0,[3172.06821192 1442.06445793],rot180->rot90->pad->int
B_141_FB40-SL_89-ST_NISL-SE_265_compressed.jp2,NISL,42888.0,58306.0,265,268.0,1.172166359757627,07-02-24(14:48),[-42624. -55296.],-2.1280739640777973,1.0,-42624.0,55296.0,[3192.84264862 1553.82067716],rot180->rot90->pad->cog->int
